homology_id,mouse_symbol,human_symbol
48887511,CHR7:15671760-15680033(-),CHR19:47745546-47757058(+)
48887512,CHR2:166877713-166904926(-),CHR20:49237946-49278426(-)
48887515,CHR4:98919191-98926429(+),CHR1:62597520-62606313(+)
48887516,CHR3:82915031-82922356(+),CHR4:154604134-154612967(-)
48887517,CHR10:86526705-86541308(-),CHR12:103930107-103953931(+)
48887517,CHR10:86526705-86541308(-),CHR15:99257525-99260276(+)
48887518,CHR19:24071869-24202394(-),CHR9:69121264-69274615(+)
48887519,CHR3:81865719-81883035(-),CHR4:155854738-155920406(+)
48887520,CHR8:84016981-84025081(+),CHR4:140559431-140568961(-)
48887521,CHR17:35347973-35350777(-),CHR6:31652404-31658210(+)
48887522,CHR8:69333207-69359584(+),CHR8:19901717-19967259(+)
48887523,CHR11:119994786-120042172(-),CHR17:81244811-81295547(-)
48887524,CHR15:100572303-100585801(-),CHR12:51328442-51346679(-)
48887526,CHR8:22901377-22919681(+),CHR13:40729128-40771190(-)
48887527,CHR2:127050306-127082371(+),CHR2:96274338-96321271(-)
48887528,CHR1:169969507-170002526(-),CHR1:162561531-162601240(+)
48887529,CHR12:72258526-72455828(-),CHR14:59595976-59870776(-)
48887530,CHR16:22876970-22900828(+),CHR3:186717348-186744410(+)
48887531,CHR16:22804602-22847851(-),CHR3:186717348-186744410(+)
48887532,CHR7:130910283-130924021(-),CHR10:122832158-122846175(-)
48887533,CHR12:111780600-111794822(+),CHR14:103715730-103733668(+)
48887534,CHR14:30608433-30623943(+),CHR3:52812962-52830688(-)
48887535,CHR15:88960267-88971278(+),CHR22:50185913-50199598(+)
48887536,CHR11:69555039-69556979(-),CHR17:7579491-7582111(+)
48887537,CHR13:56850823-56890190(+),CHR5:136132845-136188747(+)
48887538,CHR13:56436456-56444364(-),CHR5:135570679-135579279(-)
48887539,CHR2:103284249-103315498(-),CHR11:34438934-34472060(+)
48887540,CHR2:93863042-93988254(-),CHR11:43556721-43856617(+)
48887541,CHR11:32181963-32217707(-),CHR16:84271-138677(-)
48887542,CHR11:97096668-97171464(-),CHR17:47522933-47624665(+)
48887543,CHR8:111345217-111447030(+),CHR16:70687439-70801160(-)
48887544,CHR16:37909363-38066446(+),CHR3:119821321-120094994(-)
48887545,CHR8:27532583-27546160(+),CHR8:37762546-37779768(+)
48887546,CHR9:100479762-100840597(+),CHR3:136336236-136752403(-)
48887547,CHR3:95566099-95570487(+),CHR1:150560895-150579738(-)
48887548,CHR15:85743946-85760774(+),CHR22:46296870-46330810(+)
48887549,CHR7:45204345-45216745(+),CHR19:48813018-48836510(-)
48887550,CHR17:35058202-35069180(-),CHR6:31959116-31969818(+)
48887551,CHR4:139074751-139079887(-),CHR1:19251805-19260128(+)
48887552,CHR7:19405504-19411866(-),CHR19:44946035-44949565(+)
48887553,CHR7:19405509-19415348(-),CHR19:44946035-44949565(+)
48887554,CHR4:44300876-44364301(+),CHR9:36572862-36677683(+)
48887555,CHR16:64600710-64672015(-),CHR3:88059255-88144660(+)
48887556,CHR4:108477137-108491320(+),CHR1:52345723-52366205(-)
48887557,CHR11:20635084-20691589(-),CHR2:64524299-64593005(+)
48887558,CHR7:26906595-26928042(-),CHR19:40717112-40740860(+)
48887559,CHR7:18874142-18883121(-),CHR19:45692403-45703989(+)
48887560,CHR3:108700496-108747818(-),CHR1:108746674-108809523(+)
48887561,CHR10:31189379-31204200(+),CHR6:125219962-125302078(-)
48887562,CHR6:83745867-83752795(-),CHR2:70968325-70994873(-)
48887563,CHR17:32163743-32253869(-),CHR21:43444972-43659488(-)
48887565,CHRX:156330818-156381711(-),CHRX:21839617-21885423(+)
48887566,CHR2:69727590-69854357(+),CHR2:169827454-170084131(+)
48887567,CHR8:106024295-106032002(+),CHR16:67192155-67198918(+)
48887568,CHR7:55581035-55612224(-),CHR15:22838644-22869362(+)
48887569,CHR15:37924196-37961562(-),CHR8:102204501-102238961(-)
48887570,CHR4:137943781-137971994(+),CHR1:20740266-20787323(-)
48887571,CHR11:22923228-22924514(+),CHRX:15790156-15830694(+)
48887571,CHR11:22923228-22924514(+),CHR5:112891610-112893097(+)
48887572,CHRX:162719268-162741662(-),CHRX:15790156-15830694(+)
48887572,CHRX:162719268-162741662(-),CHR5:112891610-112893097(+)
48887573,CHR4:46489319-46503439(+),CHR9:98056732-98083077(+)
48887574,CHR2:114023937-114031945(-),CHR15:34978341-34988287(-)
48887575,CHR6:86381201-86410387(+),CHR2:70209444-70248793(-)
48887576,CHR5:22015653-22070602(-),CHR7:103352730-103446207(-)
48887577,CHRX:40883869-41000878(-),CHRX:123600561-123733056(-)
48887578,CHR5:104656216-104702073(+),CHRX:123600561-123733056(-)
48887579,CHR9:63071050-63285184(-),CHR15:67542703-67807117(+)
48887580,CHR3:97597144-97796023(-),CHR1:148808140-149048286(+)
48887581,CHR19:34469718-34504874(-),CHR10:89213569-89414557(-)
48887582,CHR2:84501655-84509172(-),CHR11:57712580-57742987(+)
48887583,CHR2:101780548-102016730(-),CHR11:35943981-36232136(+)
48887584,CHR17:17747985-17846303(-),CHR5:96935394-97037513(+)
48887585,CHR12:102724234-102743960(+),CHR14:93207241-93229215(+)
48887586,CHR10:80905917-80918194(+),CHR19:2785503-2815807(+)
48887587,CHR2:28950274-28977668(+),CHR9:132375548-132406851(-)
48887588,CHR1:134468679-134477420(-),CHR1:202810827-202827227(+)
48887589,CHR1:134313678-134318719(+),CHR1:202986452-203007265(-)
48887590,CHR15:99215106-99268363(-),CHR12:49636499-49708165(-)
48887591,CHR2:109721205-109731348(+),CHR11:27494418-27506769(-)
48887592,CHR5:44150962-44259374(-),CHR4:15963076-16084378(-)
48887593,CHR4:149044992-149184300(-),CHR1:10472288-10630758(+)
48887594,CHR12:65109206-65120712(-),CHR14:45115599-45135319(-)
48887595,CHR8:14002008-14025032(-),CHR8:489803-545781(-)
48887596,CHR2:152804405-152850402(+),CHR20:31870634-31945000(+)
48887597,CHRX:36151193-36167166(-),CHRX:119588337-119606443(-)
48887598,CHR4:155949180-155953897(-),CHR1:1324756-1328896(+)
48887599,CHR11:100299293-100305542(-),CHR17:41801947-41812604(-)
48887600,CHR19:41199283-41252436(-),CHR10:96518110-96587452(-)
48887601,CHR19:24897280-24938974(-),CHR9:120837-179147(-)
48887601,CHR19:24897280-24938974(-),CHR2:113437691-113496204(+)
48887601,CHR19:24897280-24938974(-),CHR9:68232003-68300035(+)
48887601,CHR19:24897280-24938974(-),CHR9:65652979-65734041(+)
48887602,CHR10:94626728-94780697(-),CHR12:94148577-94307675(+)
48887603,CHR9:100956154-100981999(+),CHR3:136148917-136197241(-)
48887604,CHR19:60744425-60748352(+),CHR10:119029714-119033730(+)
48887605,CHR6:114620075-114837565(+),CHR3:11272309-11576353(+)
48887606,CHR7:127403072-127423703(-),CHR16:30989256-31010638(-)
48887607,CHR2:70542751-70656072(-),CHR2:170990823-171231314(-)
48887608,CHR10:80376756-80397394(-),CHR19:1815248-1848483(-)
48887609,CHR17:25339734-25344266(+),CHR16:1485886-1488981(-)
48887610,CHR14:55153992-55163583(-),CHR14:23356403-23365752(-)
48887611,CHR8:70285141-70324942(+),CHR19:19561707-19618693(-)
48887612,CHR15:99319916-99355629(-),CHR12:49791146-49828750(-)
48887613,CHR7:25016589-25065342(+),CHR19:42325609-42378769(+)
48887614,CHR12:98753064-98867743(-),CHR14:88612431-88792953(-)
48887615,CHR2:72766774-72810790(-),CHR2:173880850-173965702(-)
48887616,CHR19:47568458-47633685(+),CHR10:103967140-104029233(+)
48887617,CHR10:119035160-119075960(-),CHR12:67269358-67319953(+)
48887618,CHR5:145065580-145076835(-),CHR7:99392048-99408597(-)
48887619,CHR12:112783849-112793043(-),CHR14:105009573-105021083(-)
48887620,CHR8:61363423-61436334(-),CHR4:169612633-169723673(+)
48887621,CHR4:136707043-136776112(-),CHR1:22428838-22531157(+)
48887622,CHR4:155976332-155991708(+),CHR1:1292390-1309609(-)
48887623,CHR1:43137870-43155106(+),CHR2:105337532-105385899(+)
48887624,CHR13:30724295-30729299(-),CHR19:29205320-29213151(-)
48887624,CHR13:30724295-30729299(-),CHR22:39875289-39876308(+)
48887625,CHR10:92520608-92558282(-),CHR12:96907224-96953780(+)
48887626,CHR19:38253135-38297387(+),CHR10:93757840-93806272(+)
48887627,CHR10:75481946-75600175(-),CHR22:24011192-24178628(+)
48887628,CHR4:133406319-133484080(-),CHR1:26693236-26782104(+)
48887629,CHR19:34784340-34856855(-),CHR10:89579495-89645242(-)
48887630,CHR2:19915018-20815346(+),CHR10:23694727-24547848(+)
48887631,CHRX:59268643-59450041(-),CHRX:139726346-139945276(-)
48887632,CHR11:120348947-120355184(+),CHR17:81666737-81673904(+)
48887633,CHR8:94794582-94825556(-),CHR16:56465640-56582667(-)
48887634,CHR6:146503774-146536103(-),CHR12:26971579-27014434(-)
48887635,CHR2:163837082-163860508(+),CHR20:44885702-44908532(+)
48887636,CHR5:111027669-111437646(+),CHR22:27978014-28679840(-)
48887637,CHR14:74992115-75185316(-),CHR13:46553168-46753041(+)
48887638,CHR14:25459609-25667167(+),CHR10:79068966-79316519(+)
48887639,CHR4:44981395-44990734(+),CHR9:37422435-37439494(+)
48887640,CHRX:50476084-50770643(-),CHRX:132626015-132961395(-)
48887641,CHR2:71617236-71688761(+),CHR2:172234216-172506459(+)
48887642,CHR15:76227723-76230460(+),CHR8:144095039-144097525(+)
48887643,CHR6:11907808-12081204(+),CHR7:10973336-11169623(+)
48887644,CHR4:135598229-135601157(-),CHR1:23956839-23963462(+)
48887645,CHR14:24498764-24537126(-),CHR10:77953148-78029522(-)
48887646,CHR1:33891133-33946897(-),CHR6:56955107-57027346(+)
48887647,CHR2:28590176-28703177(+),CHR9:132725578-132879046(-)
48887648,CHR7:139575868-139616582(-),CHR10:133278635-133318823(-)
48887649,CHR11:105858774-105880790(+),CHR17:63477061-63498380(+)
48887650,CHR11:105885501-105896269(+),CHR17:63507034-63519827(+)
48887651,CHR13:49617499-49806261(-),CHR9:92325468-92620529(+)
48887652,CHR1:135229273-135241475(-),CHR1:201955503-201970664(+)
48887653,CHR1:155880345-155912226(-),CHR1:179882042-179920077(+)
48887654,CHR1:155911410-155944607(+),CHR1:179839967-179877803(-)
48887655,CHR1:179788037-179993168(+),CHR1:226989858-227318492(-)
48887656,CHR16:13981139-14010792(+),CHR16:15643267-15734691(+)
48887657,CHR5:19432034-20909790(+),CHR7:78017055-79453667(-)
48887658,CHR11:11737431-11758962(-),CHR7:50444128-50450390(-)
48887659,CHR18:65398600-65526959(-),CHR18:58481247-58629091(-)
48887660,CHR10:61674015-61814887(-),CHR10:69801880-69964275(+)
48887661,CHR11:60793072-60804618(-),CHR17:21238870-21253410(-)
48887662,CHR14:30853046-30861081(+),CHR3:52524385-52535054(-)
48887663,CHR9:98920455-99022264(-),CHR3:138652336-138834928(-)
48887664,CHR16:38379060-38412524(+),CHR3:119428949-119468830(-)
48887665,CHR4:52439243-52488260(+),CHR9:104088263-104141419(+)
48887666,CHR9:79712376-79920133(-),CHR6:75291859-75493800(-)
48887667,CHR11:97689826-97729590(+),CHR17:38869859-38921770(+)
48887668,CHR14:122771736-123128512(+),CHR13:100089015-100530437(+)
48887669,CHR5:138263183-138271102(-),CHR7:100159244-100168617(-)
48887670,CHR19:46587545-46645828(+),CHR10:102743948-102834516(+)
48887671,CHR15:98972854-98981290(+),CHR12:49323236-49331731(+)
48887672,CHR10:20223516-20237050(+),CHR6:136231024-136250335(-)
48887673,CHR5:33176160-33185310(+),CHR22:31944522-31957603(+)
48887674,CHR11:19874442-19974026(+),CHR2:65307175-65432637(-)
48887675,CHR9:108924457-108948985(+),CHR3:48403854-48430310(-)
48887676,CHR2:140500118-140513396(-),CHR20:14322985-14337614(-)
48887677,CHR4:98824908-99009152(-),CHR1:62454298-62688386(-)
48887678,CHR14:73599666-73622729(-),CHR13:48232612-48270357(+)
48887679,CHR4:133857169-133914420(-),CHR1:26234200-26278808(+)
48887680,CHR9:107464917-107470237(+),CHR3:50287732-50292918(-)
48887681,CHR17:34174786-34186009(+),CHR6:33250272-33272047(-)
48887682,CHR5:115149204-115236849(+),CHR12:120762510-120904358(-)
48887683,CHR6:42599950-42622134(-),CHR7:143620952-143730410(+)
48887683,CHR6:42599950-42622134(-),CHR7:143639230-143647647(-)
48887684,CHR6:42644936-42687022(-),CHR7:143851375-143902198(-)
48887685,CHR6:42564147-42574306(-),CHR7:143620952-143730410(+)
48887685,CHR6:42564147-42574306(-),CHR7:143639230-143647647(-)
48887686,CHR2:157121018-157168238(+),CHR20:37178410-37241619(+)
48887687,CHR8:4259543-4267459(-),CHR19:7868719-7874390(-)
48887688,CHR8:122523052-122556308(-),CHR16:87696485-87765992(-)
48887689,CHR4:62883810-63057945(+),CHR9:113876282-114056593(+)
48887690,CHR10:121099725-121187183(-),CHR12:64759484-64881033(+)
48887691,CHR9:56979324-57035650(+),CHR15:75369379-75455842(-)
48887692,CHR4:130390632-130508875(+),CHR1:30931506-31065991(-)
48887693,CHR19:5118106-5120668(+),CHR11:66314494-66317044(-)
48887694,CHR11:95847989-95896766(-),CHR17:48996558-49056145(+)
48887695,CHR15:85716545-85743023(+),CHR22:46267961-46294008(+)
48887696,CHR16:4831773-4867727(-),CHR16:4803203-4847288(-)
48887697,CHR19:38176929-38212604(-),CHR10:93667883-93702959(-)
48887698,CHR16:18695787-18789059(+),CHR22:19330698-19447450(-)
48887699,CHR17:56610405-56630486(+),CHR19:4903080-4962154(+)
48887700,CHR9:110361368-110447703(+),CHR3:47016428-47164840(-)
48887701,CHR5:87723828-87739453(-),CHR4:69821122-69860145(-)
48887702,CHR5:87661198-87686054(-),CHR4:69721167-69787961(-)
48887703,CHR7:126272037-126275604(-),CHR16:28605196-28623375(-)
48887703,CHR7:126272037-126275604(-),CHR16:28591943-28597050(-)
48887703,CHR7:126272037-126275604(-),CHR16:30199228-30204310(+)
48887703,CHR7:126272037-126275604(-),CHR16:29459913-29464966(+)
48887704,CHRX:73267067-73293426(-),CHRX:154348524-154374634(-)
48887705,CHR7:64026289-64041984(-),CHR2:71130310-71150101(+)
48887706,CHR15:93396995-93493772(-),CHR12:42456757-42590355(-)
48887707,CHR5:135435385-135573974(-),CHR7:75533298-75738962(-)
48887708,CHR4:120614635-120688769(-),CHR1:40691648-40771603(+)
48887709,CHR16:30380187-30406430(-),CHR3:194640791-194672463(-)
48887710,CHR2:84828927-84867806(-),CHR11:57335950-57372396(+)
48887711,CHR14:47709992-47769419(+),CHR14:55271344-55443049(+)
48887712,CHR12:85043095-85117289(+),CHR14:74763316-74859435(+)
48887713,CHR13:38220971-38245409(+),CHR6:7389793-7418037(+)
48887714,CHR2:179712381-179727695(+),CHR20:62183028-62203568(+)
48887715,CHR2:126394944-126430163(+),CHR15:50182196-50236385(+)
48887716,CHR3:88742531-88817406(+),CHR1:155745112-155859431(-)
48887716,CHR3:88742531-88817406(+),CHR1:155659442-155689334(-)
48887717,CHR3:90161475-90171432(+),CHR1:153947669-153958615(-)
48887718,CHR17:6156528-6290912(+),CHR6:158232195-158511828(+)
48887719,CHR1:163607152-163744678(+),CHR1:169921326-170085208(-)
48887720,CHR15:85090150-85170495(+),CHR22:45502238-45601135(+)
48887721,CHR18:58141689-58343200(-),CHR5:128257909-128659185(-)
48887722,CHR5:123008727-123127333(-),CHR12:121408461-121582279(-)
48887723,CHR9:113787625-113855871(-),CHR3:33277025-33422698(+)
48887724,CHR4:58798911-58912749(-),CHR9:111360685-111484745(-)
48887725,CHR17:88298287-88372719(-),CHR2:47789316-47906498(-)
48887726,CHR10:11157074-11173796(+),CHR6:145793502-145814795(-)
48887727,CHR1:84817562-84878208(+),CHR2:229922302-230013119(+)
48887728,CHR4:148237256-148244663(-),CHR1:11654375-11663327(+)
48887729,CHR4:148230173-148236592(-),CHR1:11664200-11674354(+)
48887730,CHR11:85723441-85732774(+),CHR17:61399843-61409466(+)
48887731,CHR1:88625947-88629913(-),CHR2:234493041-234497081(-)
48887732,CHR16:17889593-17907147(-),CHR22:18912777-18936553(-)
48887733,CHRX:47630502-47683381(-),CHRX:130202707-130268899(-)
48887734,CHR9:72182142-72271059(+),CHR15:56630176-56734086(-)
48887735,CHR10:75868235-75878804(+),CHR22:22484421-22509154(-)
48887736,CHRX:103580575-103714670(-),CHRX:75368427-75523502(-)
48887737,CHRX:100141392-100266169(-),CHRX:71056332-71073426(-)
48887738,CHR2:74656156-74707092(+),CHR2:176269395-176338025(+)
48887739,CHR6:124716146-124718032(-),CHR12:6942978-6946003(+)
48887740,CHR7:127492235-127494789(-),CHR16:31090842-31095980(-)
48887741,CHR2:92283109-92290863(-),CHR11:45804072-45813016(+)
48887742,CHR5:43819715-43898317(+),CHR4:15469865-15601557(+)
48887743,CHR11:101556367-101558658(+),CHR17:43398993-43401137(+)
48887744,CHR3:65435868-65462939(+),CHR3:156673235-156706770(+)
48887745,CHR14:101967386-102172146(+),CHR13:75620434-75859870(+)
48887746,CHR11:68322951-68388675(+),CHR17:8878911-8965712(-)
48887747,CHR2:127112138-127140852(+),CHR2:96184859-96208827(-)
48887748,CHR9:88721217-88730243(+),CHR2:95592001-95599778(+)
48887748,CHR9:88721217-88730243(+),CHR2:95477008-95484754(-)
48887748,CHR9:88721217-88730243(+),CHR11:89766451-89808575(-)
48887748,CHR9:88721217-88730243(+),CHR11:49027501-49038451(+)
48887748,CHR9:88721217-88730243(+),CHR11:90031106-90073531(+)
48887748,CHR9:88721217-88730243(+),CHR11:89911111-89922245(-)
48887748,CHR9:88721217-88730243(+),CHR11:89924064-89933063(+)
48887748,CHR9:88721217-88730243(+),CHR11:55883297-55891810(+)
48887748,CHR9:88721217-88730243(+),CHR11:48975498-48983885(-)
48887748,CHR9:88721217-88730243(+),CHR11:89966037-89974072(+)
48887748,CHR9:88721217-88730243(+),CHR11:89870438-89878487(-)
48887748,CHR9:88721217-88730243(+),CHR11:49053714-49059112(-)
48887748,CHR9:88721217-88730243(+),CHR11:89710299-89717872(+)
48887749,CHR7:103987961-104002569(-),CHR11:5588635-5938619(-)
48887750,CHR9:88966677-88974888(-),CHR2:95592001-95599778(+)
48887750,CHR9:88966677-88974888(-),CHR2:95477008-95484754(-)
48887750,CHR9:88966677-88974888(-),CHR11:89766451-89808575(-)
48887750,CHR9:88966677-88974888(-),CHR11:49027501-49038451(+)
48887750,CHR9:88966677-88974888(-),CHR11:90031106-90073531(+)
48887750,CHR9:88966677-88974888(-),CHR11:89911111-89922245(-)
48887750,CHR9:88966677-88974888(-),CHR11:89924064-89933063(+)
48887750,CHR9:88966677-88974888(-),CHR11:55883297-55891810(+)
48887750,CHR9:88966677-88974888(-),CHR11:48975498-48983885(-)
48887750,CHR9:88966677-88974888(-),CHR11:89966037-89974072(+)
48887750,CHR9:88966677-88974888(-),CHR11:89870438-89878487(-)
48887750,CHR9:88966677-88974888(-),CHR11:49053714-49059112(-)
48887750,CHR9:88966677-88974888(-),CHR11:89710299-89717872(+)
48887751,CHR7:103912593-103937301(-),CHR11:5588635-5938619(-)
48887752,CHR5:135382149-135396859(+),CHR7:73312536-73328082(-)
48887752,CHR5:135382149-135396859(+),CHR7:75395063-75410996(+)
48887752,CHR5:135382149-135396859(+),CHR7:72954868-72969681(-)
48887753,CHR15:51740837-51748018(+),CHR8:116766505-116849463(+)
48887754,CHR17:25161444-25179597(-),CHR16:1678256-1702280(+)
48887755,CHR2:156769265-156833976(-),CHR20:36651766-36746090(-)
48887756,CHR8:27750355-27765684(+),CHR8:38030534-38060365(+)
48887757,CHR13:97312839-97334865(-),CHR5:74640023-74722647(+)
48887758,CHR4:116734573-116846461(+),CHR1:45016399-45306209(-)
48887759,CHR10:4317075-4338108(-),CHR6:151364115-151391559(-)
48887760,CHR2:173579378-173626132(+),CHR20:58389229-58451101(+)
48887761,CHR4:129705012-129743796(+),CHR1:31906421-31944856(-)
48887762,CHR9:108442786-108444635(-),CHR3:49020452-49023495(+)
48887763,CHR18:24338401-24419873(+),CHR18:35580922-35711834(+)
48887764,CHR8:73234485-73246458(-),CHR19:16549831-16572415(-)
48887765,CHR2:37240086-37249344(-),CHR9:122798389-122828588(-)
48887766,CHR8:84823701-84831397(-),CHR19:13952509-13961449(+)
48887767,CHR11:119989760-119991250(+),CHR17:81239305-81241310(+)
48887768,CHR18:56840885-56886496(+),CHR5:126776623-126837020(+)
48887769,CHR3:84573499-84611882(+),CHR4:152618628-152680012(-)
48887770,CHR8:84161121-84185055(-),CHR4:140257286-140385728(+)
48887771,CHR6:30211288-30304538(-),CHR7:129830732-129952960(-)
48887772,CHR14:57028042-57049173(-),CHR13:19823482-19863649(-)
48887773,CHR14:57123986-57199815(+),CHR13:19863840-20091829(+)
48887774,CHR12:85793313-85860359(+),CHR14:75578620-75663214(+)
48887775,CHR3:40699814-40750538(+),CHR4:127781796-127840733(+)
48887776,CHR1:165692723-165830247(-),CHR1:167220876-167427345(+)
48887777,CHR14:55336292-55344050(-),CHR14:23559565-23568070(-)
48887778,CHR10:79984106-79994202(+),CHR19:1248553-1259143(+)
48887779,CHR16:55869306-56010394(+),CHR3:101324205-101513241(-)
48887780,CHR9:45774723-45818209(-),CHR11:117232625-117286454(+)
48887781,CHR1:24717711-24805382(+),CHR6:69672757-69867236(-)
48887782,CHR8:105144312-105169679(-),CHR16:66720893-66751609(-)
48887783,CHR11:51858488-51868161(+),CHR5:134402065-134411881(-)
48887784,CHR11:98883769-98915015(-),CHR17:40388525-40417896(-)
48887785,CHR9:86436430-86453895(-),CHR6:83147324-83193936(-)
48887786,CHR6:34132810-34153921(-),CHR7:134289332-134320338(-)
48887787,CHR8:15107653-15183410(+),CHR8:2045046-2165552(+)
48887788,CHR19:5651901-5652987(+),CHR11:65714005-65720818(-)
48887789,CHR6:85919250-85938649(-),CHR2:73761782-73780173(-)
48887790,CHR3:89846795-89870645(-),CHR1:154325525-154351304(+)
48887791,CHR5:116546550-116560923(-),CHR12:119171555-119224855(+)
48887792,CHR13:3588075-3616261(+),CHR10:5765222-5842132(-)
48887793,CHR4:154400582-154721330(-),CHR1:3069168-3438621(+)
48887794,CHR17:7246259-7265592(+),CHR6:166922113-166957191(-)
48887795,CHR17:8347412-8367078(-),CHR6:166922113-166957191(-)
48887796,CHR6:125339623-125357756(-),CHR12:6310332-6328506(+)
48887797,CHR2:3329986-3333680(-),CHR10:15097180-15139818(+)
48887798,CHR15:100395893-100449889(-),CHR12:51093656-51173135(-)
48887799,CHR17:57328049-57338507(-),CHR19:6413102-6424811(-)
48887800,CHR8:72021526-72039946(+),CHR19:17468767-17506168(+)
48887801,CHR11:61762133-61821078(-),CHR17:19904302-19978343(-)
48887802,CHR15:4404973-4605035(+),CHR5:41306952-41510601(-)
48887803,CHR2:169950563-169990023(-),CHR20:53567071-53609907(-)
48887804,CHR13:30320499-30430677(+),CHR6:20099684-20212469(-)
48887805,CHR15:76423032-76428808(+),CHR17:5032600-5052009(-)
48887805,CHR15:76423032-76428808(+),CHR8:144333957-144361286(+)
48887806,CHR1:172458336-172460504(-),CHR1:159780932-159782543(+)
48887807,CHR10:89244685-89279829(-),CHR12:100573683-100628288(+)
48887808,CHR11:78403105-78413562(+),CHR17:28346633-28357527(-)
48887809,CHR2:157958325-157988312(-),CHR20:38127385-38168475(-)
48887810,CHR11:82791594-82799237(-),CHR17:35128730-35142304(-)
48887811,CHR5:33978069-34055319(+),CHR4:1871393-1982207(+)
48887812,CHR15:8320101-8473947(-),CHR5:36876769-37066413(+)
48887813,CHR2:146064021-146066940(+),CHR20:20368104-20370949(+)
48887814,CHR1:139382510-139421829(+),CHR1:197084121-197146694(-)
48887815,CHR15:100948075-100976448(-),CHR12:51817899-51848718(-)
48887816,CHR17:85012675-85098214(-),CHR2:43886224-43996265(-)
48887817,CHR3:20176248-20209228(-),CHR3:148991408-149031775(+)
48887818,CHR6:39063346-39095283(-),CHR7:140023749-140062951(-)
48887819,CHR8:124748247-124775244(+),CHR1:229626247-229660200(+)
48887820,CHR17:31783708-31826667(+),CHR21:42974510-43033931(+)
48887821,CHR7:82516541-82520723(+),CHR15:82041778-82046119(-)
48887822,CHR14:32381076-32407250(-),CHR10:49297050-49327492(+)
48887823,CHR7:44461680-44466082(-),CHR19:49928702-49933935(+)
48887824,CHR9:115071649-115139489(-),CHR3:31532638-31638548(+)
48887825,CHR1:162620757-162641541(-),CHR1:171314183-171342084(+)
48887828,CHR6:113214804-113258353(+),CHR3:9649433-9702393(+)
48887829,CHR6:119900930-120015633(-),CHR12:752579-911452(+)
48887830,CHR15:102008848-102024836(+),CHR12:53046969-53064379(+)
48887831,CHR4:135730681-135748960(-),CHR1:23743448-23762059(+)
48887831,CHR4:135730681-135748960(-),CHR18:47032527-47035621(-)
48887831,CHR4:135730681-135748960(-),CHR18:46962668-46964508(-)
48887831,CHR4:135730681-135748960(-),CHR18:47028021-47030461(-)
48887832,CHR19:5157774-5168326(-),CHR11:66243938-66267860(+)
48887833,CHR7:49281247-49286583(-),CHR11:20156155-20160475(-)
48887834,CHR10:80737197-80754079(-),CHR19:2427638-2456959(-)
48887835,CHR8:23277370-23295638(-),CHR8:42152946-42171673(+)
48887836,CHR12:91522036-91557261(-),CHR14:81175452-81221390(-)
48887837,CHR14:70337538-70375413(+),CHR8:22620418-22669148(-)
48887838,CHR17:24814790-24851604(-),CHR16:2047967-2089491(+)
48887841,CHR5:129097264-129101388(+),CHR12:130872037-130877678(+)
48887842,CHR1:13183681-13197387(-),CHR8:70051651-70071693(-)
48887843,CHR10:122827965-122912410(-),CHR12:62466817-62600476(+)
48887844,CHR11:70128950-70130668(-),CHR17:7012417-7014532(+)
48887845,CHR1:175708334-175738962(+),CHR1:241847967-241895148(+)
48887846,CHR5:31070746-31078621(+),CHR2:27078615-27086403(+)
48887847,CHR5:33810560-33815321(-),CHR4:1715952-1721358(-)
48887848,CHR8:112437106-112470441(-),CHR16:75228181-75268053(-)
48887849,CHR4:155238532-155307049(-),CHR1:2227388-2310213(+)
48887850,CHR9:46184362-46193941(+),CHR11:116773799-116788039(-)
48887851,CHRX:41238194-41366062(+),CHRX:123960212-124422664(+)
48887852,CHR7:65343204-65351650(+),CHR15:101621444-101652391(-)
48887853,CHR18:62637226-62681766(-),CHR5:148383935-148442836(+)
48887854,CHR12:28725230-28732174(+),CHR2:3497366-3519531(-)
48887855,CHR10:118691508-118706114(-),CHR12:67648338-67665406(+)
48887856,CHR6:31496428-31540872(-),CHR7:131500262-131558217(-)
48887857,CHR17:85264169-85331419(+),CHR2:44167969-44246928(+)
48887858,CHR10:81410395-81426679(+),CHR19:2997639-3047635(-)
48887859,CHR15:102314751-102344839(+),CHR12:53380176-53416446(+)
48887863,CHR2:177401081-177412265(+),CHR1:247121975-247172379(-)
48887864,CHR7:26886431-26895696(-),CHR19:40750637-40765389(+)
48887865,CHR6:124986108-125014833(+),CHR12:6666477-6689572(-)
48887866,CHRX:103324263-103457462(-),CHRX:75051048-75156732(-)
48887867,CHR10:13376314-13394779(+),CHR6:143494812-143511720(-)
48887868,CHR9:72439522-72530111(+),CHR15:56087280-56245082(-)
48887869,CHR2:181405125-181469590(+),CHR20:64102394-64242253(+)
48887870,CHR13:95763685-96028788(-),CHR5:76403285-76708132(+)
48887871,CHR6:30480806-30509786(-),CHR7:130164713-130207770(-)
48887872,CHR18:74328370-74340889(-),CHR18:50375040-50394168(+)
48887873,CHR15:75942031-75952773(-),CHR8:143816344-143830709(-)
48887874,CHR4:129519871-129534858(-),CHR1:32179675-32198285(+)
48887875,CHR17:12337591-12438532(+),CHR6:161129967-161274061(-)
48887876,CHRX:111221049-111282452(+),CHRX:85003877-85093315(+)
48887877,CHR7:79042056-79100013(+),CHR15:89243945-89317261(+)
